StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,Cluster,PCA1,PCA2
19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,3,-0.5353676967810727,0.40942650516573065
19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,3,-0.5364040275619718,-0.5882554150196099
19,64,1,0,0,1,0,28,1,19,0,67,99,1,1,0,0,-0.6154580811102146,-0.5863486351428314
19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3,3,0.4602847492282075,0.4141565465184971
19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2,3,0.45924841844730835,-0.5835253736668433
19,64,1,1,0,1,0,28,1,19,0,67,99,1,1,0,0,0.38019436489906566,-0.5816185937900649
19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3,3,0.46826905569397714,0.4185267472041042
19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2,3,0.467232724913078,-0.5791551729812362
19,64,0,1,0,1,0,28,1,19,0,67,99,1,1,0,0,0.3881786713648351,-0.5772483931044577
19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3,3,0.4640788128138632,0.39865347294830533
19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2,3,0.46304248203296405,-0.5990284472370351
19,64,1,1,1,1,0,28,1,19,0,67,99,1,1,0,0,0.38398842848472114,-0.5971216673602566
19,64,2,0,1,1,0,19,2,8,1,59,40,0,1,3,3,-0.5395579396611867,0.38955323090993177
19,64,2,0,1,1,0,23,3,16,0,90,66,0,1,2,3,-0.5405942704420857,-0.6081286892754088
19,64,2,0,1,1,0,28,1,19,0,67,99,1,1,0,0,-0.6196483239903285,-0.6062219093986303
24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3,0,0.4107277073313489,-0.6172943966413974
24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1,1,0.37138511614924896,0.4119966079444328
24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0,1,0.3718565548831999,0.412306249906055
24,98,0,0,2,1,1,29,0,3,0,65,46,1,2,3,0,-0.5731463686265059,-0.6331573108787486
24,98,0,0,2,1,1,27,0,0,1,71,83,1,0,1,2,-0.612488959808606,0.39613369370708174
24,98,0,0,2,1,1,25,1,5,1,61,95,1,0,0,2,-0.612017521074655,0.3964433356687038
24,98,0,0,1,1,1,29,0,3,0,65,46,1,2,3,0,-0.5769404322121616,-0.6176542373085568
24,98,0,0,1,1,1,27,0,0,1,71,83,1,0,1,2,-0.6162830233942616,0.4116367672772735
24,98,0,0,1,1,1,25,1,5,1,61,95,1,0,0,2,-0.6158115846603107,0.4119464092388956
24,98,1,1,2,1,1,29,0,3,0,65,46,1,2,3,0,0.4145217709170046,-0.6327974702115892
24,98,1,1,2,1,1,27,0,0,1,71,83,1,0,1,1,0.37517917973490467,0.3964935343742412
24,98,1,1,2,1,1,25,1,5,1,61,95,1,0,0,1,0.3756506184688556,0.39680317633586326
24,98,0,0,0,0,1,29,0,3,0,65,46,1,2,3,0,-0.561052305471974,-0.5966288966923003
24,98,0,0,0,0,1,27,0,0,1,71,83,1,0,1,2,-0.6003948966540741,0.43266210789353
24,98,0,0,0,0,1,25,1,5,1,61,95,1,0,0,2,-0.5999234579201231,0.4329717498551522
29,89,1,1,1,1,1,20,0,17,1,75,54,1,2,3,1,0.40284397052711074,0.3855601759973335
29,89,1,1,1,1,1,23,2,4,1,59,42,1,2,3,1,0.4062915617453443,0.3840901767168209
29,89,1,1,1,1,1,23,0,1,0,96,62,1,2,2,0,0.40599838267413646,-0.6145262625194388
29,89,0,1,0,1,1,20,0,17,1,75,54,1,2,3,1,0.4070342134072248,0.4054334502531324
29,89,0,1,0,1,1,23,2,4,1,59,42,1,2,3,1,0.41048180462545836,0.40396345097261965
29,89,0,1,0,1,1,23,0,1,0,96,62,1,2,2,0,0.4101886255542505,-0.5946529882636399
19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3,1,0.40503612866041205,0.382007046052551
19,92,1,1,1,1,0,26,2,3,0,86,94,1,2,0,0,0.40707023811058574,-0.6173925869825999
19,92,2,0,1,1,0,19,3,12,1,63,40,1,2,3,2,-0.5986006238146377,0.3729068040141773
19,92,2,0,1,1,0,26,2,3,0,86,94,1,2,0,0,-0.596566514364464,-0.6264928290209736
19,92,2,1,1,1,0,19,3,12,1,63,40,1,2,3,1,0.3970518221946424,0.37763684536694375
19,92,2,1,1,1,0,26,2,3,0,86,94,1,2,0,0,0.3990859316448161,-0.621762787668207
19,92,1,0,2,1,0,19,3,12,1,63,40,1,2,3,2,-0.5868222537632124,0.36177393112959266
19,92,1,0,2,1,0,26,2,3,0,86,94,1,2,0,0,-0.5847881443130387,-0.6376257019055582
29,84,0,1,0,1,1,21,2,10,1,57,48,1,2,3,1,0.40898241049137807,0.40517129815594466
29,84,0,1,0,1,1,28,2,14,0,74,60,1,0,2,0,0.3743961847627706,-0.562551278456025
29,84,1,1,1,1,1,21,2,10,1,57,48,1,2,3,1,0.4047921676112639,0.3852980239001458
29,84,1,1,1,1,1,28,2,14,0,74,60,1,0,2,0,0.37020594188265643,-0.5824245527118239
25,78,2,1,1,1,1,18,2,17,0,91,58,1,2,2,0,0.3942807487951232,-0.6169820076084986
25,78,0,1,1,1,1,18,2,17,0,91,58,1,2,2,0,0.4102493617266626,-0.6082416062372844
17,94,2,0,2,1,1,19,3,3,1,74,92,0,2,0,3,-0.5133379472452776,0.35397655303228437
17,94,1,0,0,1,1,19,3,3,1,74,92,0,2,0,3,-0.5129417679508192,0.389352900858275
17,94,1,0,1,1,1,19,3,3,1,74,92,0,2,0,3,-0.5091477043651635,0.37384982728808325
17,94,1,1,1,1,1,19,3,3,1,74,92,0,2,0,3,0.4865047416441165,0.3785798686408498
17,94,0,0,2,1,1,19,3,3,1,74,92,0,2,0,3,-0.4973693343137383,0.3627169544034986
17,94,0,1,0,1,1,19,3,3,1,74,92,0,2,0,3,0.49069498452423044,0.3984531428966487
17,94,2,1,1,1,1,19,3,3,1,74,92,0,2,0,3,0.47852043517834686,0.3742096679552427
23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2,3,0.4916641278720014,-0.6193461877940444
23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0,3,0.484458888258516,0.38003576481432
23,98,0,0,1,1,1,27,2,5,0,65,58,0,2,2,3,-0.496004011671509,-0.6197060284612038
23,98,0,0,1,1,1,27,1,4,1,100,93,0,2,0,3,-0.5032092512849944,0.37967592414716056
23,98,2,0,1,1,1,27,2,5,0,65,58,0,2,2,3,-0.5119726246030483,-0.628446429832418
23,98,2,0,1,1,1,27,1,4,1,100,93,0,2,0,3,-0.5191778642165337,0.3709355227759463
23,98,2,1,0,1,1,27,2,5,0,65,58,0,2,2,3,0.4798857578205763,-0.6082133149094598
23,98,2,1,0,1,1,27,1,4,1,100,93,0,2,0,3,0.4726805182070908,0.39116863769890453
17,80,2,0,1,0,1,18,1,13,1,68,73,0,2,1,3,-0.5007315034498531,0.377741109300613
17,80,2,0,1,0,1,24,3,11,1,64,69,1,0,2,2,-0.6168791037335867,0.41003608615817955
17,80,2,0,1,0,1,23,0,7,1,68,87,1,1,0,2,-0.5990008356238643,0.39444736895315646
17,80,2,0,1,0,1,27,0,12,0,64,88,1,0,0,0,-0.6135683073921894,-0.5887917579666054
17,80,2,0,1,0,1,29,1,0,1,73,78,1,0,1,2,-0.6164697614472173,0.4091490621201386
17,80,1,0,1,1,1,18,1,13,1,68,73,0,2,1,3,-0.5124293873099265,0.3765890429401554
17,80,1,0,1,1,1,24,3,11,1,64,69,1,0,2,2,-0.6285769875936602,0.40888401979772193
17,80,1,0,1,1,1,23,0,7,1,68,87,1,1,0,2,-0.6106987194839378,0.39329530259269885
17,80,1,0,1,1,1,27,0,12,0,64,88,1,0,0,0,-0.6252661912522629,-0.5899438243270629
17,80,1,0,1,1,1,29,1,0,1,73,78,1,0,1,2,-0.6281676453072907,0.40799699575968107
17,80,2,0,1,1,1,18,1,13,1,68,73,0,2,1,3,-0.5204136937756961,0.37221884225454827
17,80,2,0,1,1,1,24,3,11,1,64,69,1,0,2,2,-0.6365612940594297,0.4045138191121148
17,80,2,0,1,1,1,23,0,7,1,68,87,1,1,0,2,-0.6186830259497075,0.38892510190709173
